Kapitel;Datenfeld;"Pflicht
(jeweils bezogen auf das zugehörige Kapitel)";MIND-Kapitel;DIVI-Kapitel;Zugehörigkeit DIVI-MIND;Einfach-/ Mehrfach E/M;Bezeichnung Merkmal Ausprägung;"MIND-
Teildatensatz Notarzt (NA) Rettungsdienst (RD)";Erläuterungen;Hinweise /Plausibilitäten/Abhängigkeiten;techn. Default MIND;In FHIR umgesetzt?;Anmerkung zur Umsetzung
Patientendaten;PatGebDat;Nein;;PatStammdaten;D;E;Datum, Format: TT/MM/JJJJ (10 Zeichen);;Geburtsdatum des Patienten;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
Patientendaten;GebDatGeschaetzt;Nein;;PatStammdaten;D;E;Werteliste siehe Tabellenblatt Codes_DIVI;;"Ja, wenn Geburtsdatum geschätzt wurde. Keine Angabe wird wie Nein gewertet, sofern ein Geburtsdatum eingetragen
ist";Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
Patientendaten;Strasse;Nein;;PatStammdaten;D;E;Text, Zeichenlimit 100;;Strasse des Wohnorts des Patienten;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
Patientendaten;Plz;Nein;;PatStammdaten;D;E;Text, Zeichenlimit 10;;"Postleitzahl des Wohnorts des Patienten
Text weil Zahl die Länderkennung (z.B. D-) bei länderübergreifenden Einsätzen nicht erlauben würde";Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
Patientendaten;Ort;Nein;;PatStammdaten;D;E;Text, Zeichenlimit 50;;Ort des Wohnorts des Patienten;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
Patientendaten;Kasse;Nein;;PatStammdaten;D;E;Text, Zeichenlimit 50;;Krankenkasse des Patienten;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
Patientendaten;KasseNr;Nein;;PatStammdaten;D;E;Text, Zeichenlimit 50;;Krankenkassen-Nummer der Krankenkasse des Patienten;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
Patientendaten;VersNr;Nein;;PatStammdaten;D;E;Text, Zeichenlimit 50;;Versicherungs-Nummer des Patienten;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
Patientendaten;Notfallgeschehen;Nein;;Notfallgeschehen;D;E;Text, Zeichenlimit 2000;;"Anamnese, klinische Untersuchung und weitere relevante Angaben zum Einsatz, sofern diese im Protokoll nicht an anderer Stelle erfasst werden können (Beispiel: Anwesenheit von aggressiven Angehörigen, Behinderung durch
Schaulustige etc.)";Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
Patientendaten;BMIunter40;Nein;;Notfallgeschehen;D;E;Werteliste siehe Tabellenblatt Codes_DIVI;;"Ja, wenn geschätzter Body-Mass-Index kleiner als 40 ist. Nein, wenn geschätzter Body-Mass-Index gleich oder größer
als 40 ist.
Keine Angabe wird nicht gewertet";Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
Patientendaten;Versorgungssituation;Nein;;Notfallgeschehen;D;E;Werteliste siehe Tabellenblatt Codes_DIVI;;Angaben zur Versorgungssituation des Patienten vor dem Einsatzereignis;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
Patientendaten;AntikoagulanzienVorEreignis;Nein;;Notfallgeschehen;D;E;Werteliste siehe Tabellenblatt Codes_DIVI;;Angaben zur Einnahme von Antikoagulantien durch den Patienten vor dem Einsatzereignis;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
Patientendaten;Ersthelfermassnahmen;Nein;;Notfallgeschehen;D;E;Werteliste siehe Tabellenblatt Codes_DIVI;;Angaben zum Einsatz von Ersthelfermaßnahmen vor dem Eintreffen professioneller Hilfe;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
Patientendaten;Dialysepflichtigkeit;Nein;;Notfallgeschehen;D;E;Werteliste siehe Tabellenblatt Codes_DIVI;;Ja, wenn beim Patienten vor dem Einsatzereignis Dialysepflichtigkeit bestand. Keine Angabe wird wie Nein gewertet;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
Patientendaten;Infektiositaet;Nein;;Notfallgeschehen;D;E;Werteliste siehe Tabellenblatt Codes_DIVI;;"Ja, wenn beim Patienten vor dem Einsatzereignis gesundheits- bzw.  hygienisch relevante, chronische Infektionen
bekannt waren. Keine Angabe wird wie Nein gewertet";Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
Patientendaten;VitalProblem;Nein;;Notfallgeschehen;D;M;Werteliste siehe Tabellenblatt Codes_DIVI;;Auflistung der vital bedrohlichen Probleme des Patienten nach dem cABCDE-Schema;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
Kapitel: ErsteMesswerteUndBefunde;Kapitel: ErsteMesswerteUndBefunde;;;;;;Erste gemessenene Werte bzw. erste erhobene Befunde;;"Pflicht für NA-Protokolle, wenn ein Patientenkontakt stattgefunden hat, außer wenn es sich um eine Hilfeleistung oder
eine Unterstützung eines anderen Rettungsmittels handelt.
Pflicht für RD-Protokolle, wenn ein Patientenkontakt stattgefunden hat, außer wenn es sich um einen Krankentransport, eine Hilfeleistung, eine Unterstützung eines anderen Rettungsmittels oder um eine Verlegung mit physisch    anwesendem Notarzt handelt.";"Pflicht wenn:
Protokolltyp GLEICH  NA
UND RDTransport GLEICH  (01 ODER  03 ODER  04 ODER 05
ODER 06 ODER  07 ODER  08
ODER 09 ODER  98)
UND KeinTranspMitPat NICHT  (05 ODER  08)
ODER
Protokolltyp GLEICH  RD
UND RDTransport GLEICH  (01 ODER 03 ODER  04 ODER 05
ODER 06 ODER  07 ODER  08
ODER 09 ODER  98)
UND KeinTranspMitPat NICHT  (05 ODER 08)
UND EinsatzArt NICHT  (05 ODER  07 ODER  10)";;;
ErsteMesswerteUndBefunde;Bewusstsein1;Ja;ErsteMesswerteUndBefunde;ErsteBefundeNeuro;DM;E;"Bewusstseinslage
Werteliste siehe Tabellenblatt Codes";NA + RD;Es ist die jeweils beste Ausprägung zu wählen;"Wenn Kapitel ""ErsteMesswerteUndBefunde"" Pflicht, dann ist -2 unzulässig.";-2;T;Terminologie: mind-bewusstseinslage-cs / MindBewusstseinslageVS. Noch kein Profil.
ErsteMesswerteUndBefunde;GlasgowComaScale1;Ja;ErsteMesswerteUndBefunde;ErsteBefundeNeuro;DM;E;"Glasgow Coma Scale
Werteliste siehe Tabellenblatt Codes";NA + RD;Bei Seitendifferenz bessere Seite;"Wenn Kapitel ""ErsteMesswerteUndBefunde"" Pflicht, dann ist -2 unzulässig.";-2;;
ErsteMesswerteUndBefunde;NeurologischeAuffaelligkeiten1;Ja;ErsteMesswerteUndBefunde;ErsteBefundeNeuro;DM;M;"Neurologische Auffälligkeiten
Werteliste siehe Tabellenblatt";NA + RD;"• sNIHSS-EMS Items und BEFAST werden abgebildet.
• die Dokumentation von Schweregraden und der Körperseite ist im
MIND nicht vorgesehen";"Wenn Kapitel ""ErsteMesswerteUndBefunde"" Pflicht, dann ist -2 unzulässig.
Kombinationen mit 00, -1 oder 99 sind unzulässig.";-2;T;Terminologie: mind-neurologische-auffaelligkeit-cs (BEFAST/sNIHSS). Noch kein Profil.
ErsteMesswerteUndBefunde;SystolischerBlutdruck1;Ja;ErsteMesswerteUndBefunde;ErsteMesswerte;DM;E;"Systolischer Blutdruck Messwert in mmHg
Werteliste siehe Tabellenblatt Codes";NA + RD;Bedeutet RR-Messung durchgeführt, wenn Angabe im Wertebereich oder 999.;"Wenn Kapitel ""ErsteMesswerteUndBefunde"" Pflicht, dann ist -2 unzulässig.";-2;;
ErsteMesswerteUndBefunde;EKGBefund1;Ja;ErsteMesswerteUndBefunde;ErsteMesswerte;DM;M;"EKG-Befund
Werteliste siehe Tabellenblatt Codes";NA + RD;"Hier sollen nur die Ausprägungen dokumentiert werden, die zum Zeitpunkt der ersten Untersuchung zutreffend waren (nicht diejenigen im weiteren Verlauf).
Für QS wird EKG als durchgeführt gewertet, wenn Angabe ungleich -1.";"Wenn Kapitel ""ErsteMesswerteUndBefunde"" Pflicht, dann ist -2 unzulässig.
Kombinationen mit -1 oder 99 sind unzulässig.";-2;T;Terminologie: mind-ekg-befund-cs / MindEkgbefundVS. Noch kein Profil.
ErsteMesswerteUndBefunde;Herzfrequenz1;Ja;ErsteMesswerteUndBefunde;ErsteMesswerte;DM;E;"Herzfrequenz Messwert in /min
Werteliste siehe Tabellenblatt Codes";NA + RD;Vom Monitor abgelesene Herzfrequenz pro Minute (ggf. palpatorisch oder pulsoximetrisch bestimmte Pulsfrequenz, wenn kein EKG abgeleitet wurde).;"Wenn Kapitel ""ErsteMesswerteUndBefunde"" Pflicht, dann ist -2 unzulässig.
Werte GRÖSSER 0 bei EKGBefund1 GLEICH  09 sind unzulässig.";-2;;
ErsteMesswerteUndBefunde;Atemfrequenz1;Ja;ErsteMesswerteUndBefunde;ErsteMesswerte;DM;E;"Atemfrequenz
Messwert in /min
Werteliste siehe Tabellenblatt Codes";NA + RD;Ausgezählte oder vom Monitor abgelesene Atemfrequenz pro Minute.;"Wenn Kapitel ""ErsteMesswerteUndBefunde"" Pflicht, dann ist -2 unzulässig.
Werte GRÖSSER 0 bei Atmung1 GLEICH  08 sind unzulässig.";-2;;
ErsteMesswerteUndBefunde;Sauerstoffsaettigung1;Ja;ErsteMesswerteUndBefunde;ErsteMesswerte;DM;E;"Sauerstoffsättigung
Messwert in %
Werteliste siehe Tabellenblatt Codes";NA + RD;"Bedeutet Pulsoxymetrie durchgeführt, wenn Angabe im Wertebereich oder 999.
Der Erstbefund der Sauerstoffsättigung sollte möglichst vor Therapie mit Sauerstoff ermittelt werden.";"Wenn Kapitel ""ErsteMesswerteUndBefunde"" Pflicht, dann ist -2 unzulässig.";-2;;
ErsteMesswerteUndBefunde;Rekapillarisierungszeit;Ja;ErsteMesswerteUndBefunde;ErsteMesswerte;DM;E;"Rekapillarisierungszeit
Messwert in s
Werteliste siehe Tabellenblatt Codes";NA + RD;;"Wenn Kapitel ""ErsteMesswerteUndBefunde"" Pflicht, dann ist -2 unzulässig.";-2;;
ErsteMesswerteUndBefunde;Schmerzempfinden1;Ja;ErsteMesswerteUndBefunde;ErsteMesswerte;DM;E;"Schmerzempfinden nach
Numerischer Rating Scala (NRS)
Werteliste siehe Tabellenblatt Codes";NA + RD;Erstbefund des Schmerzempfindens vor dem Einleiten von Maßnahmen.;"Wenn Kapitel ""ErsteMesswerteUndBefunde"" Pflicht, dann ist -2 unzulässig.
Wenn Bewusstsein1 GLEICH  05, dann ist Schmerzempfinden GLEICH  (01 bis 10) unzulässig.";-2;;
ErsteMesswerteUndBefunde;Schmerzerleben;Nein;ErsteMesswerteUndBefunde;ErsteMesswerte;DM;E;Werteliste siehe Tabellenblatt Codes;NA + RD;"Mit dem Schmerzerleben soll der subjektive Bedarf eines Patienten nach einer Schmerztherapie zum Ausdruck
gebracht werden und damit deren Indikation dokumentiert werden.";;-2;T;Terminologie: mind-schmerzerleben-cs / MindSchmerzerlebenVS. Noch kein Profil.
ErsteMesswerteUndBefunde;Blutzuckerwert1;Ja;ErsteMesswerteUndBefunde;ErsteMesswerte;DM;E;"Blutzucker
Messwert in mg/dl bzw. mmol/l
Werteliste siehe Tabellenblatt Codes";NA + RD;Bedeutet Blutzuckermessung durchgeführt, wenn Angabe im Wertebereich, 997, 998 oder 999;"Triggerfeld für Dokumentationsumfang und Plausibilitätsprüfungen.
Bei Auswahl 0 bis 900 bzw. 0.0 bis 50.0 wird BlutzuckerEinheit zum Pflichtfeld Wenn Kapitel ""ErsteMesswerteUndBefunde"" Pflicht, dann ist -2 unzulässig.";-2;;
ErsteMesswerteUndBefunde;BlutzuckerEinheit;"siehe Hinweise/
Plausibilitäten/ Abhängigkeiten";ErsteMesswerteUndBefunde;ErsteMesswerte;DM;E;Werteliste siehe Tabellenblatt Codes;NA + RD;Ermöglicht die Dokumentation der im jeweiligen Bundesland / Rettungsdienstbereich gültigen Maßeinheit für den Blutzuckerwert;"Pflicht wenn:
Blutzuckerwert1 ODER Blutzuckerwert2 ENTHÄLT  (0 bis 900 bzw. 0.0 bis 50.0)";-2;;
ErsteMesswerteUndBefunde;Temperatur;Ja;ErsteMesswerteUndBefunde;ErsteMesswerte;DM;E;"Temperatur
Messwert in Grad Celsius
Werteliste siehe Tabellenblatt Codes";NA + RD;"Bedeutet Temperatur-Messung durchgeführt, wenn Angabe im Wertebereich oder 99.9.
Keine explizite Ortsangabe, wenn möglich zentral (Tympanon)";"Wenn Kapitel ""ErsteMesswerteUndBefunde"" Pflicht, dann ist -2 unzulässig.";-2;;
ErsteMesswerteUndBefunde;Atmung1;Ja;ErsteMesswerteUndBefunde;ErsteMesswerte;DM;M;"Klinische Befunde Atmung
Werteliste siehe Tabellenblatt Codes";NA + RD;"Hier sollen nur die Ausprägungen dokumentiert werden, die zum Zeitpunkt der ersten Untersuchung zutreffend waren
(nicht diejenigen im weiteren Verlauf).";"Wenn Kapitel ""ErsteMesswerteUndBefunde"" Pflicht, dann ist -2 unzulässig.
Kombinationen mit -1, 00 oder 99 sind unzulässig.";-2;T;Terminologie: mind-atmung-cs / MindAtmungVS. Noch kein Profil.
ErsteMesswerteUndBefunde;Hautbefunde;Ja;ErsteMesswerteUndBefunde;ErsteMesswerte;DM;M;"Hautbefunde
Werteliste siehe Tabellenblatt Codes";NA + RD;;"Wenn Kapitel ""ErsteMesswerteUndBefunde"" Pflicht, dann ist -2 unzulässig.
Kombinationen mit -1, 00 oder 99 sind unzulässig.";-2;T;Terminologie: mind-hautbefund-cs / MindHautbefundVS. Noch kein Profil.
ErsteMesswerteUndBefunde;Psyche1;Ja;ErsteMesswerteUndBefunde;ErsteMesswerte;M;M;"Psychischer Zustand
Werteliste siehe Tabellenblatt Codes";NA + RD;Hier sollen nur die Ausprägungen dokumentiert werden, die zum Zeitpunkt der ersten Untersuchung zutreffend waren (nicht diejenigen im weiteren Verlauf).;"Wenn Kapitel ""ErsteMesswerteUndBefunde"" Pflicht, dann ist -2 unzulässig.
Kombinationen mit -1, 00 oder 99 sind unzulässig.";-2;T;Terminologie: mind-psychischer-zustand-cs / MindPsychischerZustandVS. Noch kein Profil.
ErsteMesswerteUndBefunde;Pupillenweite1;Ja;ErsteMesswerteUndBefunde;ErsteMesswerte;M;E;"Pupillenweite
Werteliste siehe Tabellenblatt Codes";NA + RD;Es ist die klinisch relevanteste Ausprägung zu dokumentieren;"Wenn Kapitel ""ErsteMesswerteUndBefunde"" Pflicht, dann ist -2 unzulässig.";-2;T;Terminologie: mind-pupillenweite-cs / MindPupillenweiteVS. Noch kein Profil.
ErsteMesswerteUndBefunde;Lichtreaktion1;Ja;ErsteMesswerteUndBefunde;ErsteMesswerte;DM;E;"Lichtreaktion
Werteliste siehe Tabellenblatt Codes";NA + RD;;"Wenn Kapitel ""ErsteMesswerteUndBefunde"" Pflicht, dann ist -2 unzulässig.";-2;T;Terminologie: mind-lichtreaktion-cs / MindLichtreaktionVS. Noch kein Profil.
ErsteMesswerteUndBefunde;EtCO2Wert1;siehe Hinweise/ Plausibilitäten/ Abhängigkeiten;ErsteMesswerteUndBefunde;ErsteMesswerte;DM;E;"erster gemessener etCO2  Wert (unter Beatmung in mmHg gemessen)
Werteliste siehe Tabellenblatt Codes";NA + RD;"Bedeutet Kapnometrie durchgeführt, wenn Angabe im Wertebereich oder 999.
Pflicht, wenn eine Atemwegssicherung oder eine maschinelle invasive Beatmung (unterstützt oder kontrolliert) dokumentiert ist .";"Pflicht wenn:
Airway GLEICH  (03 ODER  05 ODER 07)
ODER Atemunterst GLEICH 05";-2;;
ErsteMesswerteUndBefunde;ZeitErsteWerte;Nein;;ErsteBefundeNeuro;D;E;Angabe von Datum und Uhrzeit;;Zeit zu der begonnen wurde, die die ersten Werte des Kapitels ErsteMesswerteNeuro erfasst wurden;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
ErsteMesswerteUndBefunde;GCSAugenOeffnen1;Nein;;ErsteBefundeNeuro;D;E;Werteliste siehe Tabellenblatt Codes_DIVI;;Erste Werte: GCS-Stadium für Augen öffnen;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
ErsteMesswerteUndBefunde;GCSVerbaleReaktion1;Nein;;ErsteBefundeNeuro;D;E;Werteliste siehe Tabellenblatt Codes_DIVI;;Erste Werte: GCS-Stadium für Beste verbale Reaktion;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
ErsteMesswerteUndBefunde;GCSMotorischArmRechts1;Nein;;ErsteBefundeNeuro;D;E;Werteliste siehe Tabellenblatt Codes_DIVI;;Erste Werte: GCS-Stadium für Beste motorische Reaktion am rechten Arm;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
ErsteMesswerteUndBefunde;GCSMotorischArmLinks1;Nein;;ErsteBefundeNeuro;D;E;Werteliste siehe Tabellenblatt Codes_DIVI;;Erste Werte: GCS-Stadium für Beste motorische Reaktion am linken Arm;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
ErsteMesswerteUndBefunde;GCSMotorischBeinRechts1;Nein;;ErsteBefundeNeuro;D;E;Werteliste siehe Tabellenblatt Codes_DIVI;;Erste Werte: GCS-Stadium für Beste motorische Reaktion am rechten Bein;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
ErsteMesswerteUndBefunde;GCSMotorischBeinLinks1;Nein;;ErsteBefundeNeuro;D;E;Werteliste siehe Tabellenblatt Codes_DIVI;;Erste Werte: GCS-Stadium für Beste motorische Reaktion am linken Bein;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
ErsteMesswerteUndBefunde;NeurologischeAuffaelligkeitenSonstige1;Nein;;ErsteBefundeNeuro;D;M;Text, Zeichenlimit 200;;Erste Werte: Text für sonstige neurologische Auffälligkeiten, die im strukturierten Bereich nicht erfasst werden können.;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
ErsteMesswerteUndBefunde;ExtremitaetenbewegungArmRechts1;Nein;;ErsteBefundeNeuro;D;E;Werteliste siehe Tabellenblatt Codes_DIVI;;Erste Werte: Kraft der Extremitätenbewegung des rechten Armes;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
ErsteMesswerteUndBefunde;ExtremitaetenbewegungArmLinks1;Nein;;ErsteBefundeNeuro;D;E;Werteliste siehe Tabellenblatt Codes_DIVI;;Erste Werte: Kraft der Extremitätenbewegung des linken Armes;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
ErsteMesswerteUndBefunde;ExtremitaetenbewegungBeinRechts1;Nein;;ErsteBefundeNeuro;D;E;Werteliste siehe Tabellenblatt Codes_DIVI;;Erste Werte: Kraft der Extremitätenbewegung des rechten Beines;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
ErsteMesswerteUndBefunde;ExtremitaetenbewegungBeinLinks1;Nein;;ErsteBefundeNeuro;D;E;Werteliste siehe Tabellenblatt Codes_DIVI;;Erste Werte: Kraft der Extremitätenbewegung des linken Beines;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
ErsteMesswerteUndBefunde;PupillenweiteRechts1;Nein;;ErsteBefundeNeuro;D;E;Werteliste siehe Tabellenblatt Codes_DIVI;;Erste Werte: Beurteilung der Pupillenweite rechts;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
ErsteMesswerteUndBefunde;PupillenweiteLinks1;Nein;;ErsteBefundeNeuro;D;E;Werteliste siehe Tabellenblatt Codes_DIVI;;Erste Werte: Beurteilung der Pupillenweite links;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
ErsteMesswerteUndBefunde;LichtreaktionRechts1;Nein;;ErsteBefundeNeuro;D;E;Werteliste siehe Tabellenblatt Codes_DIVI;;Erste Werte: Beurteilung der Pupillenreaktion rechts;Für MIND-Datensatz: Feld nicht übermitteln. Abweichungen führen zu Abweisung von Datenlieferungen.;;;
