Kapitel-/Feldname;"Pflicht
(jeweils bezogen auf das zugehˆrige Kapitel)";Einfach-/ Mehrfach E/M;Bezeichnung Merkmal Auspr‰gung;Teildatensatz Notarzt (NA) Rettungsdienst (RD);Erl‰uterungen;Hinweise /Plausibilit‰ten/Abh‰ngigkeiten;techn. Default MIND;
Kapitel: Strukturdaten;;;;;;dieses Kapitel ist immer Pflicht;;
Protokolltyp;Ja;E;Werteliste siehe Tabellenblatt Codes;NA + RD;"Typ des verwendeten Protokolls:
ï NA f¸r Notarztdokumentation
ï RD f¸r Rettungsdienstdokumentation
Sollte in Stammdaten fest dem Rettungsmittel/Personal zugewiesen werden.
Beim Wechsel von Dokumentations-Pads zwischen Fahrzeugen muss unbedingt darauf geachtet werden, dass das korrekte Rettungsmittel mit der ihm zugeordneten Projekt-ID und der richtige Protokolltyp ausgew‰hlt sind.";Triggerfeld f¸r Dokumentationsumfang und Plausibilit‰tspr¸fungen z.B. ProjektID, Rettungsmitteltyp, Einsatzart, Qualifikation Personal.;;
Standortkennung;Nein;E;"Amtlicher Gemeindeschl¸ssel des RM-Standortes BL-LK (Bundesland-Landkreis-Rettungswache;
Bundesland und Landkreis jeweils nach Vorgaben des Gemeindeschl¸ssels)
Werteliste siehe Tabellenblatt Codes";NA + RD;Amtlicher Gemeindeschl¸ssel des Rettungsmittel-Standorts.;;-2;
ProjektID;Ja;E;ProjektID;NA + RD;"Standortspezifische Nummer, die von einer zentralen Stelle vergeben und verwaltet wird. Standortverantwortliche sind aufgefordert, sich dort um eine ID-Zuteilung zu bem¸hen.
Einmalig in Stammdaten einzupflegen.";Pr¸fung auf Plausibilit‰t, z.B. Leitstelle, Einsatzart, Rettungsmitteltyp, Protokolltyp.;;
Leitstelle;Ja;E;Landkreiskennung der Heimatleitstelle  (z.B. S f¸r Stuttgart, OG f¸r Offenburg);NA + RD;"F¸r einen Standort immer konstant und sollte automatisiert beim Export zugeordnet werden.
Einmalig in Stammdaten einzupflegen.";Pr¸fung auf Plausibilit‰t, z.B. ProjektID und Leitstelle.;;
Softwarekennung;"siehe Hinweise/ Plausibilit‰ten/
Abh‰ngigkeiten";E;Kennung des Dokumentationssystems des Rettungsmittels und der Software-Version;NA+RD;Identifikation des Dokumentationssystems und der Software-Version, mit der die Einsatzdaten erzeugt wurden.;Pflichtfeld in BW;-2;
Kapitel: RettungstechnischeDaten;;;;;;dieses Kapitel ist immer Pflicht;;
Primaerschluessel;Ja;E;"eindeutiger Prim‰rschl¸ssel f¸r alle F‰lle pro Jahr
Zeichenlimit 20";NA + RD;"Innerhalb eines Leitstellenbereiches darf in einem Kalenderjahr kein Prim‰rschl¸ssel mehrfach vergeben werden.
Es ist unbedingt darauf zu achten, dass im NA-Protokoll die NA-Auftragsnummer und im RD-Protokoll die RD-Auftragsnummer verwendet wird!
Bei mehreren Patienten in einem Einsatz, soll von der ""Heimatleitstelle"" f¸r jeden Patienten eine separate Auftragsnummer zugeteilt werden. Diese ist ggf. anzufordern. Dort wo dies leitstellen-/abrechnungsseitig nicht mˆglich ist, soll der Prim‰rschl¸ssel im jeweiligen Datensatz durch ein eindeutiges Suffix gekennzeichnet werden (bspw. Auftragsnummer der Leitstelle erg‰nzt mit -01 bis -99 oder mit -A bis -Z)";;;
EinsatzArt;Ja;E;Werteliste siehe Tabellenblatt Codes;NA + RD;"Art des RD-Einsatzes/Notarzteinsatzes
F¸r die Auswahl des zutreffenden Codes ist der Status zum Zeitpunkt der Alarmierung des dokumentierenden Rettungsmittels durch die Leitstelle maﬂgeblich.
(d.h. in einem NA-Protokoll d¸rfen unter EinsatzArt nur Auspr‰gungen mit dem Inhalt ""mit (physisch anwesendem) NA"" dokumentiert werden, auch wenn der NA nachgefordert wurde und die prim‰re Alarmierung des RTW ohne NA erfolgte.
Im RD-Protokoll d¸rfen - sofern bei Alarmierung des RTW (noch) keine Alarmierung eines NA/TNA erfolgt
ist - unter EinsatzArt nur Auspr‰gungen mit dem Inhalt ""ohne NA"" dokumentiert werden, auch wenn es sp‰ter zu einer NA-Nachforderung kam.)
Einsatzarten ""mit (physisch anwesendem) NA"" (01, 03, 05, 07) bzw. ""mit...TNA"" (02, 03, 06, 07) sind immer dann auszuw‰hlen, wenn bis zum Zeitpunkt der Alarmierung des dokumentierenden RM ein NA oder ein TNA ebenfalls alarmiert wurden.
Dienstfahrt und Pause sind organisatorische Einsatzarten, die in keinem Bezug zu einem beabsichtigten oder tats‰chlichen Patientenkontakt stehen (beispielsweise Fahrt in die Kfz-Werkstatt). Ein Materialtransport, f¸r den ein Patientenbezug hergestellt werden kann (z.B. Transport eines Inkubators
durch einen RTW zu einem anderen Einsatz) ist nicht mit Dienstfahrt zu kodieren.
Wenn ein RTW von der Leitstelle einen Krankentransportauftrag erhalten hat, ist als EinsatzArt Krankentransport auszuw‰hlen.";"Triggerfeld f¸r Dokumentationsumfang und Plausibilit‰tspr¸fungen.
Wenn Protokolltyp NA, dann ist EinsatzArt GLEICH  (04 ODER  08 ODER  10) unzul‰ssig.";;
Gemeindeschluessel;Nein;E;"Amtlicher Gemeindeschl¸ssel des Einsatzortes
Werteliste siehe Tabellenblatt Codes";NA + RD;Quelle ist das Statistische Bundesamt. Der Amtliche Gemeindeschl¸ssel (AGS) ist ein 8-stelliger Schl¸ssel zur eindeutigen Identifizierung einer Gemeinde mit den Bestandteilen: Bundesland (2 Stellen), Regierungsbezirk (1 Stelle), Kreis (2 Stellen) und Gemeinde (3 Stellen);;-2;
Postleitzahl;Nein;E;"Postleitzahl des Einsatzortes
Werteliste siehe Tabellenblatt Codes";NA + RD;PLZ des Einsatzortes - diese ist bei Eins‰tzen am Wohnort des Patienten zumeist der Versichertenkarte zu entnehmen.;;-2;
GeoEinsatzort;Nein;E;"Geokoordinaten des Einsatzortes
GPS Geo-Koordinaten im Dezimalformat [WGS 84]";NA + RD;"Die Koordinaten werden in der Reihenfolge Breitengrad, L‰ngengrad mit Komma getrennt angegeben.
Format: 99.999999,99.999999";;-2;
EinsatzortTyp;"siehe Hinweise/ Plausibilit‰ten/
Abh‰ngigkeiten";E;Werteliste siehe Tabellenblatt Codes;NA + RD;"Beschreibung des Einsatzortes.
Pflicht, auﬂer f¸r Dienstfahrten und Pauseneins‰tze";"Pflicht wenn:
EinsatzArt NICHT  (11 ODER  12)";-2;
RDTransport;siehe Hinweise/ Plausibilit‰ten/ Abh‰ngigkeiten;E;Werteliste siehe Tabellenblatt Codes;NA + RD;"Welches Rettungsmittel hat den ¸berwiegenden Anteil des Transports des Patienten (hinsichtlich der Transportstrecke) durchgef¸hrt?
""Transport durch NAW"" ist nur auszuw‰hlen, wenn es sich bei dem RM von vornherein um einen NAW gehandelt hat (ein RTW, bei dem der NA den Transport begleitet, bleibt ein RTW)
Bei gemeinsamem Einsatz von RTW und NA identische Dokumentation in RD- und NA-Protokoll Pflicht, auﬂer f¸r Dienstfahrten und Pauseneins‰tze";"Triggerfeld f¸r Dokumentationsumfang und Plausibilit‰tspr¸fungen.
ï Bei Auswahl 01 wird KeinTranspMitPat zum Pflichtfeld
ï Bei Auswahl 02 wird KeinTranspOhnePat zum Pflichtfeld
Pflicht wenn:
EinsatzArt NICHT  (11 ODER  12)
Wenn EinsatzArt GLEICH  (11 ODER  12), sind s‰mtliche Inhalte in RDTransport auﬂer -2 unzul‰ssig.";-2;
AerztlBegleit;siehe Hinweise/ Plausibilit‰ten/ Abh‰ngigkeiten;M;"ƒrztliche Begleitung
Werteliste siehe Tabellenblatt Codes";NA + RD;"Wurde der Transport ‰rztlich begleitet? Wenn ja, von wem?
Pflicht f¸r NA- und RD-Protokolle bei Eins‰tzen mit durchgef¸hrtem Transport
Bei gemeinsamem Einsatz von RTW und NA identische Dokumentation in RD- und NA-Protokoll";"Triggerfeld f¸r Dokumentationsumfang und Plausibilit‰tspr¸fungen.
Pflicht wenn:
RDTransport GLEICH  (03 ODER  04 ODER  05 ODER  06 ODER  07 ODER  08 ODER  09 ODER  98)
Kombinationen mit 00 sind unzul‰ssig";-2;
NotarztNachgefordert;siehe Hinweise/ Plausibilit‰ten/ Abh‰ngigkeiten;E;Physisch anwesender Notarzt wurde nachgefordert Werteliste siehe Tabellenblatt Codes;NA + RD;"Betrifft nur die Nachforderung eines physisch anwesenden Notarztes (nicht eines Telenotarztes).
NA: Wurden Sie nachgefordert?
RD: Haben Sie einen Notarzt nachgefordert? Falls unbekannt: ""nein"" dokumentieren
Pflicht, auﬂer f¸r Dienstfahrten und Pauseneins‰tze
wenn bei Protokolltyp RD eine Einsatzart ausgew‰hlt wurde, die eine prim‰re Alarmierung eines (physisch
anwesendem) NA zum Ausdruck bringt (01, 03, 05, oder 07)  ist die Dokumentation NotarztNachgefordert=ja unzul‰ssig.";"Triggerfeld f¸r Dokumentationsumfang und Plausibilit‰tspr¸fungen.
Pflicht wenn:
EinsatzArt NICHT  (11 ODER  12)
Wenn Protokolltyp GLEICH  RD UND  EinsatzArt GLEICH  (01 ODER  03 ODER  05 ODER  07), dann ist
NotarztNachgefordert = 01 unzul‰ssig.";-2;
TNANachgefordert;siehe Hinweise/ Plausibilit‰ten/ Abh‰ngigkeiten;E;Tele-Notarzt wurde nachgefordert Werteliste siehe Tabellenblatt Codes;NA + RD;"Betrifft nur die Nachforderung eines Telenotarztes (nicht eines physisch anwesenden Notarztes). NA/RD: Haben Sie einen TNA nachgefordert?
Pflicht, auﬂer f¸r Dienstfahrten und Pauseneins‰tze
wenn bei Protokolltyp RD eine Einsatzart ausgew‰hlt wurde, die eine prim‰re Alarmierung eines TNA zum Ausdruck bringt (02, 03, 06, oder 07)  ist die Dokumentation TNANachgefordert=ja unzul‰ssig.";"Triggerfeld f¸r Dokumentationsumfang und Plausibilit‰tspr¸fungen.
Pflicht wenn:
EinsatzArt NICHT  (11 ODER  12)
Wenn Protokolltyp GLEICH  RD UND  EinsatzArt GLEICH  (02 ODER  03 ODER  06 ODER  07), dann ist
TNANachgefordert = 01 unzul‰ssig.";-2;
KeinTranspMitPat;siehe Hinweise/ Plausibilit‰ten/ Abh‰ngigkeiten;E;Grund f¸r Einsatz ohne Transport trotz Patientenkontakt Werteliste siehe Tabellenblatt Codes;NA + RD;"Pflicht f¸r Eins‰tze ohne Transport trotz Patientenkontakt
nur f¸r Eins‰tze ohne Transport, aber mit Patientenkontakt; nicht f¸r Eins‰tze ohne Patientenkontakt (diese sollen unter KeinTranspOhnePat dokumentiert werden)
02 = prim‰re Todesfeststellung (ohne CPR): reine Todesfeststellungen ohne Reanimation (Erstbefunde sind erforderlich, Abschlussbefunde/Diagnosen/RD-Maﬂnahmen sind nicht erforderlich.)
Der Grund f¸r die nicht durchgef¸hrte Reanimation muss im Feld Reanimationssituation angegeben werden!
Sobald Reanimationsmaﬂnahmen durchgef¸hrt wurden, darf im Feld KeinTranspMitPat nicht die 02 ausgew‰hlt werden und im Feld Reanimationssituation muss 01  oder 02 oder 03 gew‰hlt werden.
Erfolglose Reanimationen werden mit dem Code 03 = Patient im Einsatzverlauf verstorben dokumentiert.
Wenn Reanimationsmaﬂnahmen durch andere erfolgten und bei Eintreffen des eigenen RM der ROSC  fortbesteht, darf im Feld KeinTranspMitPat nicht die 02 ausgew‰hlt werden und im Feld Reanimationssituation muss 04 gew‰hlt werden.
Die Dokumentation ¸ber das Vorliegen eines Einsatzes ohne Transport trotz stattgehabtem Patientenkontakt erfolgt in Kombination mit dem Feld RDTransport (01 = kein Patiententransport, trotz Patientenkontakt).";"Triggerfeld f¸r Dokumentationsumfang und Plausibilit‰tspr¸fungen.
Pflicht wenn:
RDTransport GLEICH  01
Wenn RDTransport NICHT  01, sind s‰mtliche Inhalte in KeinTranspMitPat auﬂer -2 unzul‰ssig.";-2;
